age,gender,status,country,platforms,main_platform,second_platform,daily_time_cat,day_moments,activities,mood_impact,emotions,self_esteem_impact,stop_scrolling_reason,anxiety_score,anxiety_more_usage,anxiety_after,sleep_difficulties,phone_before_sleep,failed_reduction,time_loss,notification_compulsion,productivity_impact,guilt_after_use,self_control_score,usage_is_healthy,improvement_wish,daily_time_numeric,use_morning,use_afternoon,use_evening,use_night,cycle_trigger_numeric,cycle_outcome_numeric,risk_sleep,risk_timeloss,risk_notification,risk_guilt,risk_failed_reduction,risk_productivity,total_risk_points,risk_score
23.0,Male,Étudiant(e),France,"['Instagram', 'LinkedIn', 'Youtube', 'Tiktok', 'X(Twitter)', 'Snapchat']",Instagram,Tiktok,1–2 heures,"['Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Envoi de messages privés', 'Regarder des stories / lives']",3.0,['Distrait(e)'],"Oui, plutôt négativement","Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, Je n’ai plus rien d’intéressant dans le fil, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",6,Parfois,Augmente,Parfois,Tous les soirs,Non,Toujours,Souvent,6.0,Oui,3.0,Non,"Être plus dans le contrôle de mon temps passé sur les réseaux sociaux, et éviter d’y accéder avant de dormir pour éviter les insomnies, et pendant les périodes qui me demandent de me productivité intellectuelle.",1.5,0,0,1,1,1,1,0.5,1.0,1.0,1.0,0.0,1.0,4.5,75.0
20.0,Female,Étudiant(e),France,"['Instagram', 'LinkedIn', 'Youtube', 'Tiktok', 'Snapchat']",Instagram,Tiktok,1–2 heures,"['Après-midi', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Envoi de messages privés', 'Shopping / découverte de produits', 'Travail / veille professionnelle']",4.0,['Anxieux(-se)'],Je ne sais pas,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Je culpabilise / j’ai l’impression d’avoir perdu trop de temps, On m’interrompt (appel, message, quelqu’un qui me parle)",7,Oui,Ne change pas,Parfois,Tous les soirs,Oui,Souvent,Parfois,7.0,Oui,7.0,Non,,1.5,0,1,0,1,2,0,0.5,1.0,0.5,1.0,1.0,1.0,5.0,83.33333333333334
66.0,Male,Retraité ,Tunisia,"['Facebook', 'Instagram', 'Youtube']",Facebook,Youtube,30 min – 1 heure,['Après-midi'],"['Scrolling / consommation passive', 'Envoi de messages privés', 'Travail / veille professionnelle']",4.0,['Distrait(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",3,Non,Ne change pas,Rarement,Tous les soirs,Non,Jamais,Souvent,3.0,Non,3.0,Je ne sais pas,Sans réponse (pour moi c’est une occupation comme une autre),0.75,0,1,0,0,0,0,0.25,0.0,1.0,0.0,0.0,0.0,1.25,20.833333333333336
,Male,Retraité,France,['Facebook'],Facebook,Instagram,Plus de 4 heures,"['Matin', 'Soir']","['Scrolling / consommation passive', 'Envoi de messages privés', 'Regarder des stories / lives']",1.0,['Relaxé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir",1,Parfois,Diminue,Jamais,Tous les soirs,Non,Parfois,Toujours,1.0,Non,7.0,oui,Avoir un contenu plus efficace,5.0,1,0,1,0,1,-1,0.0,0.5,1.0,0.0,0.0,0.0,1.5,25.0
64.0,Female,Retraitée,France,"['Facebook', 'Instagram']",Facebook,Instagram,Plus de 4 heures,"['Matin', 'Soir']","['Scrolling / consommation passive', 'Regarder des stories / lives']",1.0,['Relaxé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir",3,Non,Ne change pas,"Oui, fréquemment",Tous les soirs,Oui,Parfois,Parfois,1.0,Non,7.0,oui,Du contenu efficace ,5.0,1,0,1,0,0,0,1.0,0.5,0.5,0.0,1.0,0.0,3.0,50.0
54.0,Female,Employé(e),Tunisia,"['Facebook', 'Instagram', 'LinkedIn', 'Youtube']",Youtube,Instagram,30 min – 1 heure,['Soir'],"['Scrolling / consommation passive', 'Envoi de messages privés']",4.0,['Relaxé(e)'],Non,Je n’ai plus rien d’intéressant dans le fil,1,Non,Ne change pas,Jamais,3–5 fois par semaine,Non,Parfois,Jamais,1.0,Non,5.0,oui,Non puisque ça n'a pas vraiment d'importance dans ma vie.,0.75,0,0,1,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,8.333333333333332
21.0,Female,Étudiant(e),Lebanon,"['Instagram', 'Tiktok', 'Snapchat']",Instagram,Snapchat,2–3 heures,['Soir'],['Regarder des stories / lives'],4.0,['Relaxé(e)'],"Oui, plutôt positivement","Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, Je n’ai plus rien d’intéressant dans le fil, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps, On m’interrompt (appel, message, quelqu’un qui me parle)",6,Non,Ne change pas,Parfois,Tous les soirs,Oui,Souvent,Parfois,6.0,Parfois,4.0,oui,,2.5,0,0,1,0,0,0,0.5,1.0,0.5,0.5,1.0,1.0,4.5,75.0
19.0,Female,Étudiant(e),France,"['Instagram', 'Youtube', 'Tiktok', 'X(Twitter)', 'Snapchat']",Instagram,Tiktok,Plus de 4 heures,"['Matin', 'Après-midi', 'Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Publication de contenu', 'Commentaires / réactions', 'Regarder des stories / lives']",5.0,['Distrait(e)'],"Oui, plutôt négativement","Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, Je n’ai plus rien d’intéressant dans le fil, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",6,Oui,Ne change pas,Rarement,Tous les soirs,Oui,Toujours,Toujours,6.0,Oui,3.0,Non,Avoir une routine avec des temps spécifiques d'utilisation.,5.0,1,1,1,1,2,0,0.25,1.0,1.0,1.0,1.0,1.0,5.25,87.5
55.0,Male,Employé(e),Tunisia,['Youtube'],Youtube,LinkedIn,1–2 heures,['Soir'],['Scrolling / consommation passive'],5.0,['Distrait(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",1,Non,Ne change pas,Jamais,Tous les soirs,Non,Jamais,Souvent,1.0,Non,6.0,oui,Rien,1.5,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.666666666666664
66.0,Female,Retraitée,Tunisia,['Instagram'],LinkedIn,Youtube,2–3 heures,"['Matin', 'Soir']",['Scrolling / consommation passive'],3.0,['Relaxé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",2,Non,Diminue,Jamais,Tous les soirs,Non,Parfois,Souvent,,Non,2.0,oui,,2.5,1,0,1,0,0,-1,0.0,0.5,1.0,0.0,0.0,0.0,1.5,25.0
55.0,Male,Indépendant(e),Tunisia,"['Facebook', 'Instagram', 'Youtube', 'Tiktok']",Tiktok,Facebook,30 min – 1 heure,['Après-midi'],['Scrolling / consommation passive'],4.0,['Relaxé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",2,,Ne change pas,Jamais,Tous les soirs,Non,Parfois,Parfois,2.0,Parfois,2.0,oui,Efficacité ,0.75,0,1,0,0,0,0,0.0,0.5,0.5,0.5,0.0,0.0,1.5,25.0
32.0,Male,Employé(e),France,"['Instagram', 'LinkedIn', 'Youtube', 'X(Twitter)']",X(Twitter),Instagram,3–4 heures,"['Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Regarder des stories / lives', 'Travail / veille professionnelle']",6.0,['Distrait(e)'],"Oui, plutôt négativement","Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, Je n’ai plus rien d’intéressant dans le fil",2,Parfois,Ne change pas,Rarement,Tous les soirs,Non,Parfois,Toujours,5.0,Parfois,5.0,oui,,3.5,0,0,1,1,1,0,0.25,0.5,1.0,0.5,0.0,1.0,3.25,54.166666666666664
21.0,Female,Étudiant(e),Tunisia,"['Facebook', 'Instagram', 'Youtube', 'Tiktok']",Instagram,Tiktok,1–2 heures,"['Matin', 'Après-midi', 'Soir']",['Scrolling / consommation passive'],6.0,['Relaxé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Je n’ai plus rien d’intéressant dans le fil, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",4,Non,Augmente,Rarement,Tous les soirs,Non,Parfois,Parfois,4.0,Oui,5.0,oui,,1.5,1,1,1,0,0,1,0.25,0.5,0.5,1.0,0.0,0.0,2.25,37.5
59.0,Female,Employé(e),France,"['Facebook', 'Instagram', 'Youtube']",Youtube,Facebook,1–2 heures,['Soir'],"['Scrolling / consommation passive', 'Envoi de messages privés']",4.0,['Anxieux(-se)'],"Oui, plutôt positivement",Il se fait tard / je dois dormir,7,Parfois,Augmente,"Oui, fréquemment",Tous les soirs,Oui,Souvent,Toujours,6.0,Parfois,3.0,oui,Les types de recherche,1.5,0,0,1,0,1,1,1.0,1.0,1.0,0.5,1.0,1.0,5.5,91.66666666666666
21.0,Female,Étudiant(e),Tunisia,"['Facebook', 'Instagram', 'LinkedIn', 'Youtube', 'Tiktok', 'Snapchat']",Tiktok,Instagram,Plus de 4 heures,"['Matin', 'Après-midi', 'Soir', 'Nuit (après 23h)']","['Publication de contenu', 'Envoi de messages privés', 'Regarder des stories / lives', 'Travail / veille professionnelle']",4.0,['Relaxé(e)'],Je ne sais pas,"Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, J’ai atteint une limite de temps (réglage écran / appli / contrôle parental)",3,Parfois,Ne change pas,Parfois,Tous les soirs,Non,Parfois,Parfois,3.0,Parfois,3.0,Je ne sais pas,,5.0,1,1,1,1,1,0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,33.33333333333333
53.0,Female,Employé(e),Tunisia,"['Facebook', 'Youtube', 'Tiktok', 'WhatsApp']",Facebook,Tiktok,1–2 heures,['Soir'],"['Publication de contenu', 'Travail / veille professionnelle']",5.0,['Anxieux(-se)'],"Oui, plutôt négativement",Il se fait tard / je dois dormir,3,Parfois,Augmente,"Oui, fréquemment",Tous les soirs,Oui,Parfois,Parfois,1.0,Oui,4.0,oui,Le contenu/ le temps ,1.5,0,0,1,0,1,1,1.0,0.5,0.5,1.0,1.0,0.0,4.0,66.66666666666666
53.0,Female,Enseignante ,Tunisia,"['Facebook', 'Instagram', 'LinkedIn', 'Youtube']",Facebook,Facebook,30 min – 1 heure,['Soir'],"['Envoi de messages privés', 'Commentaires / réactions', 'Regarder des stories / lives', 'Travail / veille professionnelle']",4.0,['Relaxé(e)'],Non,"J’ai atteint une limite de temps (réglage écran / appli / contrôle parental), Je n’ai plus rien d’intéressant dans le fil, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",1,Parfois,Ne change pas,Jamais,1–2 fois par semaine,Oui,Parfois,Souvent,7.0,Oui,4.0,oui,La qualité et le choix de mes  consultations ,0.75,0,0,1,0,1,0,0.0,0.5,1.0,1.0,1.0,1.0,4.5,75.0
56.0,Female,Employé(e),Tunisia,"['Facebook', 'Youtube', 'Tiktok']",Facebook,Tiktok,2–3 heures,['Soir'],"['Commentaires / réactions', 'Travail / veille professionnelle']",4.0,[],Non,Je culpabilise / j’ai l’impression d’avoir perdu trop de temps,4,Parfois,Diminue,Rarement,Jamais,Oui,Parfois,Parfois,4.0,Oui,4.0,Non,Limiter le temps,2.5,0,0,1,0,1,-1,0.25,0.5,0.5,1.0,1.0,0.0,3.25,54.166666666666664
22.0,Female,Étudiant(e),Tunisia,"['Facebook', 'Instagram', 'Tiktok']",Facebook,Instagram,1–2 heures,['Soir'],"['Envoi de messages privés', 'Commentaires / réactions', 'Regarder des stories / lives']",4.0,['Relaxé(e)'],"Oui, plutôt positivement",La batterie de mon téléphone est faible,3,Parfois,Ne change pas,Parfois,Tous les soirs,Oui,Parfois,Parfois,2.0,Parfois,3.0,Je ne sais pas,,1.5,0,0,1,0,1,0,0.5,0.5,0.5,0.5,1.0,0.0,3.0,50.0
21.0,Female,Étudiant(e),Tunisia,"['Facebook', 'Instagram']",Facebook,Instagram,1–2 heures,['Soir'],"['Scrolling / consommation passive', 'Publication de contenu', 'Shopping / découverte de produits']",1.0,['Relaxé(e)'],"Oui, plutôt positivement",,1,Oui,Augmente,"Oui, fréquemment",1–2 fois par semaine,Oui,Jamais,Parfois,2.0,Oui,2.0,oui,Oui ,1.5,0,0,1,0,2,1,1.0,0.0,0.5,1.0,1.0,0.0,3.5,58.333333333333336
23.0,Female,Employé(e),Lebanon,"['Facebook', 'Instagram', 'LinkedIn', 'Youtube', 'Tiktok', 'X(Twitter)', 'Snapchat']",Tiktok,Instagram,Plus de 4 heures,"['Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Regarder des stories / lives', 'Shopping / découverte de produits']",5.0,['Relaxé(e)'],"Oui, plutôt négativement","Je commence à avoir mal aux yeux / je suis fatigué(e), Il se fait tard / je dois dormir, La batterie de mon téléphone est faible, Honnêtement, j’arrête rarement de moi-même",7,Parfois,Ne change pas,Parfois,Tous les soirs,Oui,Toujours,Souvent,5.0,Oui,5.0,Non,oui,5.0,0,0,1,1,1,0,0.5,1.0,1.0,1.0,1.0,1.0,5.5,91.66666666666666
21.0,Female,Étudiant(e),Tunisia,"['Facebook', 'LinkedIn', 'Youtube']",Facebook,Youtube,2–3 heures,"['Matin', 'Soir']","['Publication de contenu', 'Envoi de messages privés', 'Regarder des stories / lives']",4.0,['Stressé(e)'],Non,"Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",3,Oui,Ne change pas,Parfois,Tous les soirs,Oui,Toujours,Toujours,4.0,Oui,5.0,Non,Des formations benifiques,2.5,1,0,1,0,2,0,0.5,1.0,1.0,1.0,1.0,0.0,4.5,75.0
21.0,Female,Étudiant(e),Tunisia,['Facebook'],Facebook,Youtube,3–4 heures,['Soir'],['Regarder des stories / lives'],5.0,['Stressé(e)'],Je ne sais pas,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",2,Parfois,,Parfois,Tous les soirs,Non,Parfois,Jamais,5.0,Non,3.0,Non,J'aimerais mieux contrôle le temps que je passe les réseux sociaux sur tout avant de dormir .,3.5,0,0,1,0,1,0,0.5,0.5,0.0,0.0,0.0,1.0,2.0,33.33333333333333
21.0,Male,Employé(e),Lebanon,"['Instagram', 'LinkedIn', 'Tiktok', 'X(Twitter)']",Instagram,Tiktok,3–4 heures,"['Soir', 'Nuit (après 23h)']",['Scrolling / consommation passive'],3.0,['Anxieux(-se)'],"Oui, plutôt négativement",Il se fait tard / je dois dormir,6,Oui,Ne change pas,Parfois,Tous les soirs,Oui,Souvent,Toujours,5.0,Non,5.0,Je ne sais pas,,3.5,0,0,1,1,2,0,0.5,1.0,1.0,0.0,1.0,1.0,4.5,75.0
36.0,Male,Employé(e),Tunisia,"['Facebook', 'LinkedIn', 'Youtube']",Facebook,Youtube,2–3 heures,"['Après-midi', 'Soir']","['Publication de contenu', 'Envoi de messages privés', 'Commentaires / réactions', 'Shopping / découverte de produits', 'Travail / veille professionnelle']",5.0,['Relaxé(e)'],"Oui, plutôt positivement","Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",3,Parfois,Ne change pas,Rarement,3–5 fois par semaine,Non,Parfois,Souvent,2.0,Parfois,4.0,Je ne sais pas,Je ne sais pas ,2.5,0,1,1,0,1,0,0.25,0.5,1.0,0.5,0.0,0.0,2.25,37.5
20.0,Female,Étudiant(e),France,['Youtube'],Youtube,Tiktok,1–2 heures,['Après-midi'],['Culture/ nouvelles idées'],4.0,['Motivé(e)'],Je ne sais pas,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), J’ai atteint une limite de temps (réglage écran / appli / contrôle parental), Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",5,Parfois,Diminue,Jamais,Tous les soirs,Non,Parfois,Parfois,4.0,Oui,5.0,Je ne sais pas,"Apprendre à maitriser l'IA, à profiter des sites web qui offrent des cours, à lire plus de livres.",1.5,0,1,0,0,1,-1,0.0,0.5,0.5,1.0,0.0,0.0,2.0,33.33333333333333
20.0,Female,Étudiant(e),Tunisia,"['Facebook', 'Youtube', 'Tiktok']",Facebook,Tiktok,2–3 heures,['Soir'],"['Shopping / découverte de produits', 'Travail / veille professionnelle']",4.0,['Relaxé(e)'],"Oui, plutôt négativement",Je n’ai plus rien d’intéressant dans le fil,5,Parfois,Augmente,Jamais,3–5 fois par semaine,Non,Parfois,Jamais,6.0,Non,4.0,Je ne sais pas,,2.5,0,0,1,0,1,1,0.0,0.5,0.0,0.0,0.0,1.0,1.5,25.0
26.0,Female,Étudiant(e),USA,"['Instagram', 'Youtube']",Instagram,Youtube,30 min – 1 heure,"['Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Envoi de messages privés']",4.0,['Distrait(e)'],Je ne sais pas,"Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), J’ai atteint une limite de temps (réglage écran / appli / contrôle parental), Je n’ai plus rien d’intéressant dans le fil, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",6,Parfois,Ne change pas,Parfois,Tous les soirs,Oui,Parfois,Jamais,5.0,Parfois,4.0,Non,,0.75,0,0,1,1,1,0,0.5,0.5,0.0,0.5,1.0,1.0,3.5,58.333333333333336
55.0,Male,Employé(e),Canada,"['Facebook', 'Instagram', 'Youtube', 'Tiktok']",Instagram,Facebook,1–2 heures,['Soir'],['Scrolling / consommation passive'],1.0,['Stressé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",2,Oui,Ne change pas,"Oui, fréquemment",Tous les soirs,Non,Parfois,Souvent,2.0,Oui,3.0,Non,Je veux arrêter complètement ,1.5,0,0,1,0,2,0,1.0,0.5,1.0,1.0,0.0,0.0,3.5,58.333333333333336
27.0,Male,Employé(e),France,"['Instagram', 'LinkedIn', 'Youtube', 'X(Twitter)', 'Snapchat']",X(Twitter),Instagram,Plus de 4 heures,"['Matin', 'Après-midi', 'Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Envoi de messages privés']",5.0,['Distrait(e)'],"Oui, plutôt négativement","Il se fait tard / je dois dormir, On m’interrompt (appel, message, quelqu’un qui me parle)",3,Parfois,Ne change pas,Parfois,Tous les soirs,Non,Souvent,Souvent,5.0,Parfois,3.0,Non,Pertinence du contenu,5.0,1,1,1,1,1,0,0.5,1.0,1.0,0.5,0.0,1.0,4.0,66.66666666666666
45.0,Male,Employé(e),France,"['Youtube', 'Tiktok', 'X(Twitter)']",Youtube,X(Twitter),1–2 heures,['Soir'],"['Scrolling / consommation passive', 'Envoi de messages privés', 'Travail / veille professionnelle']",3.0,['Anxieux(-se)'],Non,je me limite au temps que je me fixe ,2,Parfois,Ne change pas,Rarement,3–5 fois par semaine,Oui,Parfois,Souvent,4.0,Parfois,5.0,oui,Avoir le choix des sujets qui pourraient m'intéresser ,1.5,0,0,1,0,1,0,0.25,0.5,1.0,0.5,1.0,0.0,3.25,54.166666666666664
64.0,Male,Retraite ,Tunisia,"['Facebook', 'Instagram', 'Tiktok']",Facebook,Tiktok,30 min – 1 heure,"['Matin', 'Soir']","['Publication de contenu', 'Commentaires / réactions']",7.0,['Motivé(e)'],Non,J’ai atteint une limite de temps (réglage écran / appli / contrôle parental),1,Non,Diminue,Jamais,Jamais,Non,Jamais,Toujours,1.0,Non,1.0,oui,Je ne sais pas ,0.75,1,0,1,0,0,-1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.666666666666664
71.0,Female,Indépendant(e),Tunisia,"['Facebook', 'Instagram', 'Youtube']",Facebook,Youtube,30 min – 1 heure,"['Matin', 'Après-midi', 'Soir']",['Scrolling / consommation passive'],4.0,['Anxieux(-se)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir",4,Non,Ne change pas,Jamais,Tous les soirs,Non,Parfois,Parfois,2.0,Non,7.0,oui,Rien,0.75,1,1,1,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,16.666666666666664
